Jordan Peele,2022,Nope,US,Good,,,
Joseph Kosinski,2022,Top Gun: Maverick,US,Special,,,
Laura Poitras,2022,All The Beauty And The Bloodshed,US,Special,Venice Leone d’oro,,
Makoto Shinkai,2022,Suzume (스즈메의 문단속),Japan,Good,,,
Mark Mylod,2022,The Menu,US,Good,,,
Martin McDonagh,2022,The Banshees of Inisherin,UK,Good,,,
Ruben Östlund,2022,Triangle of Sadness,Sweden,Good,Cannes Palme d'Or,,
Sho Miyake,2022,"Small, Slow But Steady (너의 눈을 들여다보면)",Japan,Good,,,
Steven Spielberg,2022,The Fabelmans,US,Special,,,
Takehiko Inoue,2022,The First Slam Dunk,Japan,Good,,,
Todd Field,2022,Tár,US,Good,,,
Tom Gormican,2022,The Unbearable Weight of Massive Talent,US,Good,,,
김한민,2022,한산: 용의 출현,Korea,Good,,,
박찬욱,2022,헤어질 결심,Korea,Good,,청룡영화제 최우수 작품상,
이정재,2022,헌트,Korea,Good,,,
Audrey Diwan,2021,L'événement (레벤느망),France,Good,Venice Leone d’oro,,
David Lowery,2021,The Green Knight,US,Good,,,
Denis Villeneuve,2021,Dune,US,Good,,,
Fran Kranz,2021,Mass,US,Good,,,
Guillermo del Toro,2021,Nightmare Alley,US,Good,,,
Jane Campion,2021,The Power of the Dog,US,Good,,,
Joachim Trier,2021,The Worst Person in the World,Norway,Good,,,
Jon Watts,2021,Spider-Man: No Way Home,US,Good,,,
Julia Ducournau,2021,Titane,France,Special,Cannes Palme d'Or,,
Kenneth Branagh,2021,Belfast,UK,Good,,,
Kogonada,2021,After Yang,US,Good,,,
Leos Carax,2021,Annette,US,Good,,,
Matt Reeves,2021,The Batman,US,Good,,,
Pablo Larraín,2021,Spencer,US,Good,,,
Paul Thomas Anderson,2021,Licorice Pizza,US,Good,,,
Peter Jackson,2021,The Beatles: Get Back,US,Good,,,
Radu Jude,2021,Bad Luck Banging or Loony Porn,Romania,Special,Berlin Goldener Bär,,
Robert Zemeckis,2020,The Witches,US,Good,,,
Ryusuke Hamaguchi,2021,Wheel of Fortune and Fantasy (우연과 상상),Japan,Good,,,
Ryusuke Hamaguchi,2021,Drive My Car,Japan,Special,,Oscar Best International Film,
Shaka King,2021,Judas and the Black Messiah,US,Good,,,
Sian Heder,2021,Coda,US,Special,,Oscar Best Picture,
Steven Spielberg,2021,West Side Story,US,Good,,,
Wes Anderson,2021,The French Dispatch,US,Good,,,
류승완,2021,모가디슈,Korea,Good,,청룡영화제 최우수 작품상,
장훈,2011,고지전,Korea,Good,,,
Aaron Sorkin,2020,The Trial of the Chicago 7,US,Good,,,
Caroline Suh,2020,Blackpink: Light Up the Sky,Korea,Good,,,
Charlie Kaufman,2020,I'm Thinking of Ending Things,US,Special,,,
Chloé Zhao,2020,Nomadland,US,Special,Venice Leone d’oro,Oscar Best Picture,
Christopher Nolan,2020,Tenet,US,Good,,,
David Fincher,2020,Mank,US,Good,,,
Emerald Fennell,2020,Promising Young Woman,US,Good,,,
Florian Zeller,2020,The Father,US,Masterpiece,,,
Jasmila Žbanić,2020,"Quo Vadis, Aida?",Bosna,Good,,,
Kelly Reichardt,2020,First Cow,US,Good,,,
Kiyoshi Kurosawa,2020,Wife of a Spy,Japan,Good,,,
Lee Isaac Chung,2020,Minari,US,Good,,,
"Pete Docter, Kemp Powers",2020,Soul,Pixar,Good,,,
Peter Galison,2020,Black Holes: The Edge of All We Know,US,Good,,,
Soushi Matsumoto,2020,It’s a Summer Film!,Japan,Good,,,
Thomas Vinterberg,2020,Druk (Another Round),Denmark,Good,,Oscar Best International Film,
김초희,2019,찬실이는 복도 많지,Korea,,,,
우민호,2020,남산의 부장들,Korea,Good,,청룡영화제 최우수 작품상,
윤단비,2020,남매의 여름밤,Korea,Good,,,
"Anthony Russo, Joe Russo",2019,Avengers: Endgame,US,,,,
Céline Sciamma,2019,Portrait of a Lady on Fire (타오르는 여인의 초상),France,Good,,,
Greta Gerwig,2019,Little Women,US,Special,,,
J.J. Abrams,2019,"Star Wars 9, Rise of Skywalker",US,,,,
James Gray,2019,Ad Astra,US,Special,,,
James Mangold,2019,Ford v Ferrari,US,Good,,,
Jan Tadeusz Komasa,2019,Corpus Christi (문신을 한 신부님),Poland,Good,,,
"Jean-Pierre Dardenne, Luc Dardenne",2019,Young Ahmed,France,Good,,,
Jordan Peele,2019,Us,US,,,,
Josh Cooley,2019,Toy story 4,Pixar,Special,,,
Justin Folk,2019,No safe space,US,,,,
Ken Loach,2019,Sorry We Missed You (미안해요 리키),UK,Good,,,
Kwok Cheung Tsang,2019,"Better Days (少年的你, 소년 시절의 너)",Hong Kong,Special,,Hong Kong Film Awards,하나의 삶. 당신뿐이었던 나날들.
Ladj Ly,2019,Les Misérables,France,Good,,César Award for Best Film,
Leslie Iwerks,2019,League of Legends Origins,US,Good,,,
Makoto Shinkai,2019,Weathering with You,Japan,Good,,,
Martin Scorsese,2019,Rolling Thunder Revue: A Bob Dylan Story,US,Good,,,
Martin Scorsese,2019,Irishman,US,Special,,,
Nicolas Bedos,2019,La belle époque (카페 벨 에포크),France,Good,,,
Noah Baumbach,2019,Marriage Story,US,Good,,,
Patricia Marcoccia,2019,The Rise of Jordan Peterson,Canada,,,,
Pawo Choyning Dorji,2019,Lunana: A Yak in the Classroom,Bhutan,Good,,,
Pedro Almodóvar,2019,Pain and Glory ,Spain,Good,,,
Rian Johnson,2019,Knives Out,US,Good,,,
Robert Eggers,2019,The Lighthouse,US,Good,,,
Ryusuke Hamaguchi,2019,Asako I & II,Japan,Good,,,
Sam Mendes,2019,1917,UK,Special,,,
Sergio Pablos,2019,Klaus,US,Good,,,
"Steven Bognar, Julia Reichert",2019,American Factory,US,Good,,,
Taika Waititi,2019,Jojo Rabbit,US,Good,,,
"Tamara Kotevska, Ljubomir Stefanov",2019,Honeyland,Macedonia,Good,,,
Tim Miller,2019,Terminator: Dark Fate,US,Good,,,
Todd Douglas Miller,2019,Apollo 11,US,Masterpiece,,,Cinematic moment of technology.
Todd Phillips,2019,Joker,US,Special,Venice Leone d’oro,,
김도영,2019,82년생 김지영,Korea,Good,,,
김윤석,2019,미성년,Korea,Good,,,
봉준호,2019,기생충 (Parasite),Korea,Masterpiece,Cannes Palme d'Or,Oscar Best Picture,
윤가은,2019,우리집,Korea,Special,,,
임대형,2019,윤희에게 (Moonlit Winter),Korea,Special,,,
Alfonso Cuarón,2018,Roma,Mexico,Good,Venice Leone d’oro,Oscar Best International Film,
Ali Abbasi,2018,Border (경계선),Sweden,Good,,,
Alice Rohrwacher,2018,Happy as Lazzaro,Italia,Good,,,
Bi Gan,2018,Long Day's Journey into Night (지구 최후의 밤),China,,,,
Bradley Cooper,2018,A Star Is Born,US,Special,,,
Christopher McQuarrie,2018,Mission: Impossible - Fallout,US,Good,,,
Claire Denis,2018,High Life,US,Good,,,
Damien Chazelle,2018,First man,US,Good,,,
Hirokazu Koreeda,2018,Shoplifters (어느 가족),Japan,Good,Cannes Palme d'Or,Japan Academy Prize,
Meghna Gulzar,2018,Raazi,India,Good,,IIFA Awards,
Nadine Labaki,2018,Capernaum,Lebanon,Special,,,
Pawel Pawlikowski,2018,Cold War,Poland,Good,,,
Peter Farrelly,2018,Green Book,US,Good,,Oscar Best Picture,
Peter Ramsey,2018,Spider-Man: Into the Spider-Verse,US,,,,
Ryan Coogler,2018,Black Panther ,US,Good,,,
Spike Lee,2018,BlacKkKlansman,US,Good,,,
Steven Spielberg,2018,Ready Player One ,US,Good,,,
Tamara Jenkins,2018,Private Life,US,Good,,,
Thomas Stuber,2018,In the Aisles,Germany,Good,,,
Yorgos Lanthimos,2018,The Favourite,US,Good,,,
김보라,2018,벌새,Korea,Good,,,
이석근,2018,너의 결혼식 ,Korea,Good,,,
이창동,2018,버닝,Korea,Good,,,
장준환,2017,1987,Korea,Good,,청룡영화제 최우수 작품상,
홍상수,2018,강변호텔,Korea,Good,,,
Agnès Varda,2017,Faces Places (바르다가 사랑한 얼굴들),France,Good,,,
Alex Kurtzman,2017,The Mummy,US,,,,
Andrey Zvyagintsev,2017,Loveless,Russia,Good,,,
Carla Simón,2017,Summer 1993,Spain,Special,,,
Christopher Nolan,2017,Dunkirk,US,Good,,,
David Lowery,2017,A Ghost Story,US,Good,,,
"Dorota Kobiela, Hugh Welchman",2017,Loving Vincent,Poland,Special,,,
Greg Kohs,2017,AlphaGo,US,Special,,,
Greta Gerwig,2017,Lady Bird,US,Special,,,
Guillermo del Toro,2017,The Shape of Water,US,Special,Venice Leone d’oro,Oscar Best Picture,
Hirokazu Koreeda,2017,The Third Murder,Japan,Good,,Japan Academy Prize,
Ildikó Enyedi,2017,On Body And Soul (우리는 같은 꿈을 꾼다),Hungary,Good,Berlin Goldener Bär,,
Joe Piscatella,2017,Joshua : Teenager vs. Superpower,Hong Kong,Good,,,
Joe Wright,2017,Darkest Hour,UK,Good,,,
Jon Watts,2017,Spider-Man: Homecoming,US,Good,,,
Jordan Peele,2017,Get Out,US,Good,,,
Lee Unkrich,2017,Coco,Pixar,Good,,,
Luca Guadagnino,2017,Call Me by Your Name,US,Good,,,
Lynne Ramsay,2017,You Were Never Really Here,US,Good,,,
Martin McDonagh,2017,"Three Billboards Outside Ebbing, Missouri",US,Good,,,
Michael Almereyda,2017,Marjorie Prime (당신과 함께한 순간들),US,Good,,,
Michael Gracey,2017,The Greatest Showman,US,Good,,,
Michael Haneke,2017,Happy End,France,,,,
Michel Hazanavicius,2017,Redoubtable (네 멋대로 해라 : 장 뤽 고다르),France,Good,,,
Paul Thomas Anderson,2017,Phantom Thread,US,Masterpiece,,,
Rian Johnson,2017,"Star Wars 8, Last Jedi",US,Good,,,
Ruben Östlund,2017,The Square,Sweden,Good,Cannes Palme d'Or,,
Sean Baker,2017,The Florida Project,US,Good,,,
Sebastián Lelio,2017,A Fantastic Woman,Chile,Good,,Oscar Best International Film,
Shô Tsukikawa,2017,너의 췌장을 먹고 싶어,Japan,,,,
Sofia Coppola,2017,The Beguiled (매혹당한 사람들),US,Good,,,
Stephen Chbosky,2017,Wonder,US,Good,,,
Woody Allen,2017,Wonder Wheel,US,Good,,,
Yorgos Lanthimos,2017,The Killing of a Sacred Deer,US,Good,,,
김종관,2017,더 테이블 ,Korea,Good,,,
봉준호,2017,옥자,Korea,Good,,,
원신연,2017,살인자의 기억법,Korea,Good,,,
장훈,2017,택시운전사,Korea,Good,,청룡영화제 최우수 작품상,
홍상수,2017,클레어의 카메라 (Claire's Camera),Korea,Good,,,
홍상수,2017,그 후 (The Day After),Korea,Good,,,
Abhishek Chaubey,2016,Udta Punjab,India,Good,,,
Asghar Farhadi,2016,The Salesman,Iran,Good,,Oscar Best International Film,
Barry Jenkins,2016,Moonlight,US,Good,,Oscar Best Picture,
Bertrand Tavernier,2016,Journey Through French Cinema,France,Stopped,,,
Clint Eastwood,2016,Sully,US,Good,,,
Damien Chazelle,2016,La La Land,US,Good,,,
David Mackenzie,2016,Hell or High Water,US,Special,,,
Denis Villeneuve,2016,Arrival,US,Good,,,
Gauri Shinde,2016,Dear Zindagi,India,Good,,,
